workload,scalar_cycles,packed_cycles,xpix_cycles,scalar_instret,packed_instret,xpix_instret,speedup_vs_scalar,speedup_vs_packed
abs,3670052,2409128,753700,720903,541320,131079,4.8693803900756265,3.1964017513599576
thresh,3145760,2029744,753700,589830,456842,131079,4.1737561363937905,2.693039670956614
addus,3343908,2557480,753700,591367,542216,131079,4.436656494626509,3.393233381982221
max,3082784,2296356,753700,526854,477703,131079,4.09020034496484,3.0467772323205518
min,3082784,2296356,753700,526854,477703,131079,4.09020034496484,3.0467772323205518
motion,3869216,2709812,852019,723462,547083,147466,4.541232061726323,3.180459590689879
