workload,scalar_cycles,packed_cycles,xpix_cycles,scalar_instret,packed_instret,xpix_instret,speedup_vs_scalar,speedup_vs_packed
abs,3670052,2416552,753700,720903,548744,131079,4.8693803900756265,3.206251824333289
thresh,3145760,2007280,753700,589830,434378,131079,4.1737561363937905,2.6632347087700676
addus,3375012,2588584,753700,622471,573320,131079,4.477924903807881,3.434501791163593
max,3112864,2326436,753700,556934,507783,131079,4.13011012339127,3.0866870107469815
min,3112864,2326436,753700,556934,507783,131079,4.13011012339127,3.0866870107469815
motion,3899296,2771206,852019,753542,608477,147466,4.57653643874139,3.252516669229207
